,Country,County,Designation,Points,Price,Province,Title,Variety,Winery,Year
7595,France,Beaujolais-Villages,,86,10.0,Beaujolais,Barton & Guestier 2009 Beaujolais-Villages,Gamay,Barton & Guestier,2009
7596,Argentina,Mendoza,Torcidas,84,15.0,Mendoza Province,Finca Vides 2009 Torcidas Chardonnay (Mendoza),Chardonnay,Finca Vides,2009
7597,US,Napa Valley,,83,18.0,California,Starmont 2009 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Starmont,2009
7598,US,Napa Valley,,89,65.0,California,Daviana 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Daviana,2009
7599,France,Chablis,Les Deux Rives,87,,Burgundy,Olivier Leflaive 2009 Les Deux Rives (Chablis),Chardonnay,Olivier Leflaive,2009
7600,US,Diamond Mountain District,Gravelly Meadow,96,175.0,California,Diamond Creek 2009 Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Diamond Creek,2009
7601,US,Arroyo Grande Valley,Rincon Vineyard,95,58.0,California,Talley 2009 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley,2009
7602,Australia,South Eastern Australia,Masterpeace,83,10.0,Australia Other,Andrew Peace 2009 Masterpeace Shiraz (South Eastern Australia),Shiraz,Andrew Peace,2009
7603,Argentina,Cafayate,,91,30.0,Other,San Pedro de Yacochuya 2009 Malbec-Cabernet Sauvignon (Cafayate),Malbec-Cabernet Sauvignon,San Pedro de Yacochuya,2009
7604,Australia,McLaren Vale,,84,29.0,South Australia,Yangarra Estate Vineyard 2009 Roussanne (McLaren Vale),Roussanne,Yangarra Estate Vineyard,2009
7605,US,Alexander Valley,Broken Road,92,40.0,California,Stonestreet 2009 Broken Road Chardonnay (Alexander Valley),Chardonnay,Stonestreet,2009
7606,US,Napa Valley,,84,60.0,California,Mario Bazán 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Mario Bazán,2009
7607,Spain,Bierzo,Selección,90,42.0,Northern Spain,Godelia 2009 Selección Mencía (Bierzo),Mencía,Godelia,2009
7608,Argentina,Luján de Cuyo,Icono,94,169.0,Mendoza Province,Luigi Bosca 2009 Icono Malbec-Cabernet Sauvignon (Luján de Cuyo),Malbec-Cabernet Sauvignon,Luigi Bosca,2009
7609,US,Contra Costa County,Reserve,83,38.0,California,Hannah Nicole Vineyards 2009 Reserve Petite Sirah (Contra Costa County),Petite Sirah,Hannah Nicole Vineyards,2009
7610,Spain,Vino de la Tierra de Castilla y León,El Albar,88,12.0,Northern Spain,François Lurton 2009 El Albar Tempranillo (Vino de la Tierra de Castilla y León),Tempranillo,François Lurton,2009
7611,US,Walla Walla Valley (WA),Occam's Razor Block Ten,93,60.0,Washington,Rasa 2009 Occam's Razor Block Ten Syrah (Walla Walla Valley (WA)),Syrah,Rasa,2009
7612,Portugal,,Late Bottled Vintage,90,30.0,Port,Quinta do Portal 2009 Late Bottled Vintage (Port),Port,Quinta do Portal,2009
7613,US,Carneros,,89,22.0,California,Waterstone 2009 Pinot Noir (Carneros),Pinot Noir,Waterstone,2009
7614,Argentina,Mendoza,Malbec Rosé,85,13.0,Mendoza Province,Melipal 2009 Malbec Rosé Malbec (Mendoza),Malbec,Melipal,2009
7615,South Africa,,Estalét,91,30.0,Western Cape,Bizoe 2009 Estalét Syrah (Western Cape),Syrah,Bizoe,2009
7616,US,Willamette Valley,Croft Vineyard,92,18.0,Oregon,Arbor Brook 2009 Croft Vineyard Pinot Gris (Willamette Valley),Pinot Gris,Arbor Brook,2009
7617,Italy,Sicilia,,85,12.0,Sicily & Sardinia,Feudo Disisa 2009 Grillo (Sicilia),Grillo,Feudo Disisa,2009
7618,Italy,Isola dei Nuraghi,Essentija,89,30.0,Sicily & Sardinia,Pala 2009 Essentija Bovale (Isola dei Nuraghi),Bovale,Pala,2009
7619,Germany,,Laumersheimer Vom Kalksteinfels Trocken,93,38.0,Pfalz,Philipp Kuhn 2009 Laumersheimer Vom Kalksteinfels Trocken Spätburgunder (Pfalz),Spätburgunder,Philipp Kuhn,2009
7620,US,Stags Leap District,,90,65.0,California,Clos du Val 2009 Cabernet Franc (Stags Leap District),Cabernet Franc,Clos du Val,2009
7621,US,Sonoma County,Cinq Cépages,94,75.0,California,Chateau St. Jean 2009 Cinq Cépages Red (Sonoma County),Bordeaux-style Red Blend,Chateau St. Jean,2009
7622,Australia,South Eastern Australia,Reserve,87,12.0,Australia Other,Yellow Tail 2009 Reserve Chardonnay (South Eastern Australia),Chardonnay,Yellow Tail,2009
7623,Chile,,Enki Carmenère-Carignan,88,30.0,Central Valley,Vistamar 2009 Enki Carmenère-Carignan Red (Central Valley),Red Blend,Vistamar,2009
7624,US,Mendocino County,Vintner's Reserve,87,16.0,California,Kendall-Jackson 2009 Vintner's Reserve Zinfandel (Mendocino County),Zinfandel,Kendall-Jackson,2009
7625,New Zealand,,Unoaked,85,17.0,Marlborough,Kim Crawford 2009 Unoaked Chardonnay (Marlborough),Chardonnay,Kim Crawford,2009
7626,France,Saint-Aubin,Le Charmois Premier Cru,86,30.0,Burgundy,Michel Picard 2009 Le Charmois Premier Cru (Saint-Aubin),Pinot Noir,Michel Picard,2009
7627,US,Central Coast,,82,14.0,California,Cupcake 2009 Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Cupcake,2009
7628,US,Oakville,Exposure,89,95.0,California,Oakville East 2009 Exposure Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Oakville East,2009
7629,US,Santa Maria Valley,Le Belier,93,55.0,California,Demetria 2009 Le Belier Pinot Noir (Santa Maria Valley),Pinot Noir,Demetria,2009
7630,US,Santa Barbara County,Heritage,83,14.0,California,Curtis 2009 Heritage Rosé (Santa Barbara County),Rosé,Curtis,2009
7631,Spain,Rioja,Alfar Reserva Edición Limitada,90,57.0,Northern Spain,Valdelacierva 2009 Alfar Reserva Edición Limitada (Rioja),Tempranillo,Valdelacierva,2009
7632,US,Sonoma County,,86,16.0,California,Valley of the Moon 2009 Sangiovese (Sonoma County),Sangiovese,Valley of the Moon,2009
7633,Argentina,Mendoza,,88,16.0,Mendoza Province,Broadbent 2009 Malbec (Mendoza),Malbec,Broadbent,2009
7634,US,Amador County,,86,15.0,California,Sobon Estate 2009 Viognier (Amador County),Viognier,Sobon Estate,2009
7635,US,Yakima Valley,Boushey Grand Cote Vineyard,91,36.0,Washington,McCrea 2009 Boushey Grand Cote Vineyard Syrah (Yakima Valley),Syrah,McCrea,2009
7636,US,Yakima Valley,Midnight Red,85,25.0,Washington,Scarborough 2009 Midnight Red Red (Yakima Valley),Rhône-style Red Blend,Scarborough,2009
7637,South Africa,,Professor Black,88,21.0,Stellenbosch,Warwick 2009 Professor Black Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,Warwick,2009
7638,US,Yorkville Highlands,Randle Hill Vineyard,83,20.0,California,Bink 2009 Randle Hill Vineyard Sauvignon Blanc (Yorkville Highlands),Sauvignon Blanc,Bink,2009
7639,France,Saint-Julien,Barrel sample,92,,Bordeaux,Château Lalande-Borie 2009 Barrel sample (Saint-Julien),Bordeaux-style Red Blend,Château Lalande-Borie,2009
7640,France,Alsace,,88,,Alsace,Hugel 2009 Pinot Noir (Alsace),Pinot Noir,Hugel,2009
7641,Argentina,Mendoza,Natal,83,15.0,Mendoza Province,Alpamanta 2009 Natal Chardonnay (Mendoza),Chardonnay,Alpamanta,2009
7642,Italy,Chianti Classico,Bellezza Riserva,91,30.0,Tuscany,Castello di Gabbiano 2009 Bellezza Riserva (Chianti Classico),Sangiovese,Castello di Gabbiano,2009
7643,US,Diamond Mountain District,Post Vineyard,93,80.0,California,Von Strasser 2009 Post Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Von Strasser,2009
7644,Chile,,Rivalta Limited Selection,89,125.0,Cachapoal Valley,Santa Ema 2009 Rivalta Limited Selection Red (Cachapoal Valley),Red Blend,Santa Ema,2009
7645,Chile,,Private Reserve,83,13.0,Maule Valley,Viña el Aromo 2009 Private Reserve Sauvignon Blanc (Maule Valley),Sauvignon Blanc,Viña el Aromo,2009
7646,US,Napa Valley,Devils' Peak,90,48.0,California,Terlato 2009 Devils' Peak Red (Napa Valley),Bordeaux-style Red Blend,Terlato,2009
7647,Argentina,Luján de Cuyo,Tradicional Oak Cask,89,18.0,Mendoza Province,Bodega Carmine Granata 2009 Tradicional Oak Cask Malbec (Luján de Cuyo),Malbec,Bodega Carmine Granata,2009
7648,Italy,Bolgheri,,89,26.0,Tuscany,Podere Guado al Melo 2009 Bolgheri,Red Blend,Podere Guado al Melo,2009
7649,US,Edna Valley,Tinto,86,30.0,California,Trenza 2009 Tinto Red (Edna Valley),Red Blend,Trenza,2009
7650,US,Arroyo Seco,Rincon Vineyard,92,40.0,California,Talley 2009 Rincon Vineyard Chardonnay (Arroyo Seco),Chardonnay,Talley,2009
7651,US,Santa Ynez Valley,,93,110.0,California,Tanner DaFoe 2009 Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Tanner DaFoe,2009
7652,US,Sonoma County,Red Label,85,30.0,California,Roessler 2009 Red Label Pinot Noir (Sonoma County),Pinot Noir,Roessler,2009
7653,New Zealand,,,88,15.0,Marlborough,Mount Fishtail 2009 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Mount Fishtail,2009
7654,France,Bourgogne,Millénaire,88,26.0,Burgundy,Henri de Villamont 2009 Millénaire (Bourgogne),Chardonnay,Henri de Villamont,2009
7655,New Zealand,,Boulder Bank,85,18.0,Marlborough,Nick Goldschmidt 2009 Boulder Bank Pinot Noir (Marlborough),Pinot Noir,Nick Goldschmidt,2009
7656,Austria,,Engelreich,92,25.0,Traisental,Markus Huber 2009 Engelreich Riesling (Traisental),Riesling,Markus Huber,2009
7657,US,Napa Valley,,97,195.0,California,Ovid 2009 Red (Napa Valley),Bordeaux-style Red Blend,Ovid,2009
7658,Australia,South Eastern Australia,,84,8.0,Australia Other,Queensgate 2009 Shiraz (South Eastern Australia),Shiraz,Queensgate,2009
7659,Austria,,Aussere Bergen,91,24.0,Niederösterreich,Zull 2009 Aussere Bergen Grüner Veltliner (Niederösterreich),Grüner Veltliner,Zull,2009
7660,Argentina,Cafayate,Don David Finca La Maravilla #6,86,20.0,Other,Michel Torino 2009 Don David Finca La Maravilla #6 Malbec (Cafayate),Malbec,Michel Torino,2009
7661,Italy,Salina,Capofaro,93,66.0,Sicily & Sardinia,Tasca d'Almerita 2009 Capofaro Malvasia (Salina),Malvasia,Tasca d'Almerita,2009
7662,Chile,,Triple C Estate Bottled,89,40.0,Maipo Valley,Santa Rita 2009 Triple C Estate Bottled Red (Maipo Valley),Red Blend,Santa Rita,2009
7663,US,Napa Valley,SJ Vineyard,89,65.0,California,Frank Family 2009 SJ Vineyard Petite Sirah (Napa Valley),Petite Sirah,Frank Family,2009
7664,US,Eola-Amity Hills,,90,20.0,Oregon,Mythology 2009 Chardonnay (Eola-Amity Hills),Chardonnay,Mythology,2009
7665,Spain,Ribera del Duero,Alconte Crianza,87,32.0,Northern Spain,Montecastro 2009 Alconte Crianza (Ribera del Duero),Tempranillo,Montecastro,2009
7666,US,Napa Valley,Estate,87,28.0,California,Benessere 2009 Estate Sangiovese (Napa Valley),Sangiovese,Benessere,2009
7667,France,Côtes du Rhône,Samorëns,89,14.0,Rhône Valley,Ferraton Pere et Fils 2009 Samorëns Red (Côtes du Rhône),Rhône-style Red Blend,Ferraton Pere et Fils,2009
7668,Italy,Friuli Isonzo,Gris,89,28.0,Northeastern Italy,Lis Neris 2009 Gris Pinot Grigio (Friuli Isonzo),Pinot Grigio,Lis Neris,2009
7669,South Africa,,,87,20.0,Elgin,Paul Cluver 2009 Pinot Noir (Elgin),Pinot Noir,Paul Cluver,2009
7670,France,Côtes du Roussillon,Passion d'une Vie,90,,Languedoc-Roussillon,Bernard Magrez 2009 Passion d'une Vie Red (Côtes du Roussillon),Rhône-style Red Blend,Bernard Magrez,2009
7671,Italy,Sicilia,Tancredi,89,45.0,Sicily & Sardinia,Donnafugata 2009 Tancredi Red (Sicilia),Red Blend,Donnafugata,2009
7672,Austria,,Mandel-Höh,93,,Thermenregion,Stadlmann 2009 Mandel-Höh Zierfandler (Thermenregion),Zierfandler,Stadlmann,2009
7673,US,California,,86,9.0,California,Lucky Star 2009 Chardonnay (California),Chardonnay,Lucky Star,2009
7674,US,Umpqua Valley,,88,16.0,Oregon,Melrose 2009 Pinot Gris (Umpqua Valley),Pinot Gris,Melrose,2009
7675,US,Santa Ynez Valley,,90,24.0,California,Firestone 2009 Cabernet Franc (Santa Ynez Valley),Cabernet Franc,Firestone,2009
7676,France,Touraine,Le Bois Martin,87,,Loire Valley,Domaine Joël Delaunay 2009 Le Bois Martin Sauvignon Blanc (Touraine),Sauvignon Blanc,Domaine Joël Delaunay,2009
7677,Italy,Barbaresco,Roncaglie,90,,Piedmont,Socré 2009 Roncaglie (Barbaresco),Nebbiolo,Socré,2009
7678,Argentina,Mendoza,Reserva,90,16.0,Mendoza Province,Argento 2009 Reserva Malbec (Mendoza),Malbec,Argento,2009
7679,US,Pennsylvania,,82,18.0,Pennsylvania,Chaddsford 2009 Pinot Grigio (Pennsylvania),Pinot Grigio,Chaddsford,2009
7680,US,Columbia Valley (WA),Merval,91,35.0,Washington,Market Vineyards 2009 Merval Malbec (Columbia Valley (WA)),Malbec,Market Vineyards,2009
7681,Australia,Margaret River,Kevin John,92,75.0,Western Australia,Cullen 2009 Kevin John Chardonnay (Margaret River),Chardonnay,Cullen,2009
7682,US,Paso Robles,,90,30.0,California,Falcone 2009 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Falcone,2009
7683,US,Napa County,Cellar Select,84,20.0,California,Weinstock Cellars 2009 Cellar Select Cabernet Sauvignon (Napa County),Cabernet Sauvignon,Weinstock Cellars,2009
7684,Italy,Chianti Classico,Riserva Castello di Bibbione,90,38.0,Tuscany,Castelli del Grevepesa 2009 Riserva Castello di Bibbione (Chianti Classico),Sangiovese,Castelli del Grevepesa,2009
7685,Italy,Barolo,,86,49.0,Piedmont,Torlasco 2009 Barolo,Nebbiolo,Torlasco,2009
7686,US,Russian River Valley,Old Vines,87,18.0,California,Y Rousseau 2009 Old Vines Colombard (Russian River Valley),Colombard,Y Rousseau,2009
7687,US,Rutherford,Reserve,90,105.0,California,Peju 2009 Reserve Cabernet Franc (Rutherford),Cabernet Franc,Peju,2009
7688,Austria,,Trockenbeerenaulese,93,,Burgenland,Esterházy 2009 Trockenbeerenaulese White (Burgenland),Austrian white blend,Esterházy,2009
7689,US,Horse Heaven Hills,,90,25.0,Washington,Chateau Ste. Michelle 2009 Malbec (Horse Heaven Hills),Malbec,Chateau Ste. Michelle,2009
7690,France,Saint-Estèphe,Barrel sample,94,,Bordeaux,Château Haut-Marbuzet 2009 Barrel sample (Saint-Estèphe),Bordeaux-style Red Blend,Château Haut-Marbuzet,2009
7691,US,Columbia Valley (WA),,94,100.0,Washington,Shoup 2009 Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Shoup,2009
7692,US,Paso Robles,Michael's Vineyard,81,36.0,California,Adelaida 2009 Michael's Vineyard Zinfandel (Paso Robles),Zinfandel,Adelaida,2009
7693,France,Vouvray,Clos du Bourg Première Trie Moelleux,97,69.0,Loire Valley,Domaine Huët 2009 Clos du Bourg Première Trie Moelleux (Vouvray),Chenin Blanc,Domaine Huët,2009
7694,US,Virginia,Le Vin Rouge,84,24.0,Virginia,Doukénie 2009 Le Vin Rouge Red (Virginia),Red Blend,Doukénie,2009
7695,Portugal,,,90,15.0,Vinho Verde,Quinta do Ameal 2009 Loureiro (Vinho Verde),Loureiro,Quinta do Ameal,2009
7696,US,Sonoma Coast,Split Rock Vineyard Reserve Blanc de Blancs,89,45.0,California,One Hope 2009 Split Rock Vineyard Reserve Blanc de Blancs Sparkling (Sonoma Coast),Sparkling Blend,One Hope,2009
7697,France,Bordeaux Supérieur,,88,19.0,Bordeaux,Domaine de Courteillac 2009 Bordeaux Supérieur,Bordeaux-style Red Blend,Domaine de Courteillac,2009
7698,France,Haut-Médoc,,88,21.0,Bordeaux,Château la Croix Margautot 2009 Haut-Médoc,Bordeaux-style Red Blend,Château la Croix Margautot,2009
7699,France,Costières de Nîmes,Les Enfants Terribles,88,,Rhône Valley,Mas Carlot 2009 Les Enfants Terribles Red (Costières de Nîmes),Rhône-style Red Blend,Mas Carlot,2009
7700,US,Dry Creek Valley,Old Vine,94,38.0,California,Seghesio 2009 Old Vine Zinfandel (Dry Creek Valley),Zinfandel,Seghesio,2009
7701,France,Apremont,Les Rocailles,85,,France Other,Pierre Boniface 2009 Les Rocailles White (Apremont),White Blend,Pierre Boniface,2009
7702,US,Oak Knoll District,Blue Tooth Vineyard,91,40.0,California,Cenay 2009 Blue Tooth Vineyard Cabernet Sauvignon (Oak Knoll District),Cabernet Sauvignon,Cenay,2009
7703,France,Pauillac,,95,250.0,Bordeaux,Château Pichon Longueville Comtesse de Lalande 2009 Pauillac,Bordeaux-style Red Blend,Château Pichon Longueville Comtesse de Lalande,2009
7704,France,Madiran,Dou Barringuet,94,40.0,Southwest France,Château de Gayon 2009 Dou Barringuet Tannat-Cabernet (Madiran),Tannat-Cabernet,Château de Gayon,2009
7705,US,Santa Ynez Valley,The Loin,87,50.0,California,Babcock 2009 The Loin Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Babcock,2009
7706,Australia,South Australia,Yellow Label,85,12.0,South Australia,Wolf Blass 2009 Yellow Label Chardonnay (South Australia),Chardonnay,Wolf Blass,2009
7707,US,Rutherford,,94,85.0,California,Hewitt 2009 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Hewitt,2009
7708,US,Napa Valley,Doti/Sodaro Blocks 2 and 6,95,125.0,California,Sodaro 2009 Doti/Sodaro Blocks 2 and 6 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sodaro,2009
7709,US,,73% Washington/27% Oregon,90,30.0,Washington-Oregon,Ken Wright 2009 73% Washington/27% Oregon Chardonnay (Washington-Oregon),Chardonnay,Ken Wright,2009
7710,France,Médoc,La Demoiselle de By,86,,Bordeaux,Château Rollan de By 2009 La Demoiselle de By (Médoc),Bordeaux-style Red Blend,Château Rollan de By,2009
7711,Germany,,Erdener Prälat Auslese Goldkapsel,93,114.0,Mosel,Dr. Loosen 2009 Erdener Prälat Auslese Goldkapsel Riesling (Mosel),Riesling,Dr. Loosen,2009
7712,Portugal,,Reserva Old Vines,93,40.0,Douro,Duorum 2009 Reserva Old Vines Red (Douro),Portuguese Red,Duorum,2009
7713,Italy,Fiano di Avellino,Claris,84,,Southern Italy,Terra dei Re 2009 Claris (Fiano di Avellino),Fiano,Terra dei Re,2009
7714,US,Sonoma County,Artist Series,83,60.0,California,Kenwood 2009 Artist Series Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Kenwood,2009
7715,Italy,Cortona,Solitario,87,45.0,Tuscany,Leuta 2009 Solitario Sangiovese (Cortona),Sangiovese,Leuta,2009
7716,France,Pessac-Léognan,Barrel sample,89,,Bordeaux,Château Latour-Martillac 2009 Barrel sample (Pessac-Léognan),Bordeaux-style Red Blend,Château Latour-Martillac,2009
7717,Portugal,,Late Bottled Vintage,87,,Port,Burmester 2009 Late Bottled Vintage (Port),Port,Burmester,2009
7718,US,High Valley,Morine Ranch,86,24.0,California,Shannon Ridge 2009 Morine Ranch Roussanne (High Valley),Roussanne,Shannon Ridge,2009
7719,US,Columbia Valley (WA),,94,40.0,Washington,Rulo 2009 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Rulo,2009
7720,US,Walla Walla Valley (WA),,90,50.0,Washington,Pepper Bridge 2009 Merlot (Walla Walla Valley (WA)),Merlot,Pepper Bridge,2009
7721,Chile,,Centauri,89,25.0,Maule Valley,O. Fournier 2009 Centauri Red (Maule Valley),Red Blend,O. Fournier,2009
7722,Italy,Venezia Giulia,Ponka,86,22.0,Northeastern Italy,Paraschos 2009 Ponka White (Venezia Giulia),White Blend,Paraschos,2009
7723,US,Santa Ynez Valley,Cuvée Jeanne Marie,85,35.0,California,Foxen 2009 Cuvée Jeanne Marie Red (Santa Ynez Valley),Rhône-style Red Blend,Foxen,2009
7724,Italy,Basilicata,Dry Muscat,86,,Southern Italy,Taverna 2009 Dry Muscat Moscato Giallo (Basilicata),Moscato Giallo,Taverna,2009
7725,US,Monterey County,Pinnacles Ranches,90,12.0,California,Estancia 2009 Pinnacles Ranches Sauvignon Blanc (Monterey County),Sauvignon Blanc,Estancia,2009
7726,Chile,,Royale,90,26.0,Colchagua Valley,Koyle 2009 Royale Syrah (Colchagua Valley),Syrah,Koyle,2009
7727,France,Cahors,La Roque,91,25.0,Southwest France,Mas del Périé 2009 La Roque Malbec (Cahors),Malbec,Mas del Périé,2009
7728,France,Bourgogne,Domaine des Perdrix,87,35.0,Burgundy,Domaines Devillard 2009 Domaine des Perdrix (Bourgogne),Pinot Noir,Domaines Devillard,2009
7729,US,Russian River Valley,,90,28.0,California,Joseph Swan Vineyards 2009 Chardonnay (Russian River Valley),Chardonnay,Joseph Swan Vineyards,2009
7730,US,Finger Lakes,Magdalena Vineyard Dry,90,36.0,New York,Hermann J. Wiemer 2009 Magdalena Vineyard Dry Riesling (Finger Lakes),Riesling,Hermann J. Wiemer,2009
7731,US,Applegate Valley,Old Vine,88,32.0,Oregon,Troon 2009 Old Vine Meritage (Applegate Valley),Meritage,Troon,2009
7732,Italy,Barbaresco,Pora Riserva,91,65.0,Piedmont,Produttori del Barbaresco 2009 Pora Riserva (Barbaresco),Nebbiolo,Produttori del Barbaresco,2009
7733,New Zealand,,Gimblett Gravels Reserve,89,20.0,Hawke's Bay,Mills Reef 2009 Gimblett Gravels Reserve Merlot-Malbec (Hawke's Bay),Merlot-Malbec,Mills Reef,2009
7734,Portugal,,Estate Bottled Vinho Tinto,89,10.0,Tejo,Quinta do Casal Monteiro 2009 Estate Bottled Vinho Tinto Red (Tejo),Portuguese Red,Quinta do Casal Monteiro,2009
7735,US,Russian River Valley,Drake Estate Vineyard,92,60.0,California,Williams Selyem 2009 Drake Estate Vineyard Chardonnay (Russian River Valley),Chardonnay,Williams Selyem,2009
7736,Spain,Jumilla,,85,20.0,Levante,Oferente 2009 Monastrell (Jumilla),Monastrell,Oferente,2009
7737,Spain,Rioja,Vendimia Seleccionada Selección,86,15.0,Northern Spain,Bodegas Muriel 2009 Vendimia Seleccionada Selección (Rioja),Tempranillo,Bodegas Muriel,2009
7738,US,Sonoma Coast,,90,30.0,California,Wild Hog 2009 Pinot Noir (Sonoma Coast),Pinot Noir,Wild Hog,2009
7739,US,Arroyo Seco,Lot 251,85,13.0,California,Cameron Hughes 2009 Lot 251 G-S-M (Arroyo Seco),G-S-M,Cameron Hughes,2009
7740,US,Paso Robles,Reserve,88,84.0,California,Chateau Margene 2009 Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Chateau Margene,2009
7741,US,Columbia Valley (WA),,85,24.0,Washington,Mercer 2009 Merlot (Columbia Valley (WA)),Merlot,Mercer,2009
7742,US,Russian River Valley,Gold Ridge Vineyard Semper,93,85.0,California,Tuck Beckstoffer 2009 Gold Ridge Vineyard Semper Pinot Noir (Russian River Valley),Pinot Noir,Tuck Beckstoffer,2009
7743,Italy,Lacryma Christi del Vesuvio,Versacrum,85,18.0,Southern Italy,Sorrentino 2009 Versacrum Coda di Volpe (Lacryma Christi del Vesuvio),Coda di Volpe,Sorrentino,2009
7744,US,Santa Barbara County,Huntington,85,19.0,California,Pali 2009 Huntington Pinot Noir (Santa Barbara County),Pinot Noir,Pali,2009
7745,France,Saumur-Champigny,Clos Cristal,89,24.0,Loire Valley,Hospices de Saumur 2009 Clos Cristal (Saumur-Champigny),Cabernet Franc,Hospices de Saumur,2009
7746,US,Virginia,,82,25.0,Virginia,Boxwood 2009 Red (Virginia),Bordeaux-style Red Blend,Boxwood,2009
7747,Chile,,Edición Limitada,81,22.0,Casablanca Valley,Morandé 2009 Edición Limitada Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Morandé,2009
7748,US,Amador County,Old Vines,88,12.0,California,Sobon Estate 2009 Old Vines Zinfandel (Amador County),Zinfandel,Sobon Estate,2009
7749,Spain,Ribera del Duero,Vendimia Seleccionada,89,60.0,Northern Spain,Pagos de Quintana 2009 Vendimia Seleccionada (Ribera del Duero),Tempranillo Blend,Pagos de Quintana,2009
7750,US,Napa Valley,Barrel Select,85,28.0,California,Rutherford Hill 2009 Barrel Select Red (Napa Valley),Red Blend,Rutherford Hill,2009
7751,Italy,Toscana,Rosso Maniero,86,13.0,Tuscany,Casaloste 2009 Rosso Maniero Red (Toscana),Red Blend,Casaloste,2009
7752,US,Santa Ynez Valley,Reserve,86,65.0,California,Larner 2009 Reserve Syrah (Santa Ynez Valley),Syrah,Larner,2009
7753,Spain,Penedès,Petit Albet,87,13.0,Catalonia,Albet I Noya 2009 Petit Albet White (Penedès),White Blend,Albet I Noya,2009
7754,Italy,Rosso di Montalcino,,87,23.0,Tuscany,Máté 2009 Rosso di Montalcino,Sangiovese Grosso,Máté,2009
7755,Chile,,Reserva,88,13.0,Maule Valley,Chilcas 2009 Reserva Merlot (Maule Valley),Merlot,Chilcas,2009
7756,Germany,,Ãœrziger Würzgarten Auslese,94,64.0,Mosel,Dr. Loosen 2009 Ãœrziger Würzgarten Auslese Riesling (Mosel),Riesling,Dr. Loosen,2009
7757,Italy,Chianti Classico,Famiglia Zingarelli,88,17.0,Tuscany,Rocca delle MacÃ¬e 2009 Famiglia Zingarelli (Chianti Classico),Sangiovese,Rocca delle MacÃ¬e,2009
7758,Italy,Sicilia,,87,16.0,Sicily & Sardinia,Colosi 2009 Nero d'Avola (Sicilia),Nero d'Avola,Colosi,2009
7759,US,Shenandoah Valley (CA),American Legend,85,30.0,California,Di Arie 2009 American Legend Zinfandel (Shenandoah Valley (CA)),Zinfandel,Di Arie,2009
7760,France,Gaillac,L'Ame,93,45.0,Southwest France,Domaine Rotier 2009 L'Ame Red (Gaillac),Red Blend,Domaine Rotier,2009
7761,US,Napa Valley,,87,37.0,California,Pride Mountain 2009 Chardonnay (Napa Valley),Chardonnay,Pride Mountain,2009
7762,Italy,Rosso di Montalcino,La Togata,88,36.0,Tuscany,Tenuta Carlina 2009 La Togata (Rosso di Montalcino),Sangiovese Grosso,Tenuta Carlina,2009
7763,Argentina,Mendoza,Gran Lurton,88,32.0,Mendoza Province,François Lurton 2009 Gran Lurton Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,François Lurton,2009
7764,Chile,,Classic Series,86,12.0,Colchagua Valley,Montes 2009 Classic Series Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Montes,2009
7765,South Africa,,,87,20.0,Stellenbosch,Thelema 2009 Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,Thelema,2009
7766,Italy,Barolo,Rocche dell'Annunziata,90,55.0,Piedmont,Rocche Costamagna 2009 Rocche dell'Annunziata (Barolo),Nebbiolo,Rocche Costamagna,2009
7767,France,Beaune,Domaine de la Créa Les Cent Vignes Premier Cru,88,41.0,Burgundy,Louis Max 2009 Domaine de la Créa Les Cent Vignes Premier Cru (Beaune),Pinot Noir,Louis Max,2009
7768,Israel,,,92,48.0,Judean Hills,Yatir 2009 Syrah (Judean Hills),Syrah,Yatir,2009
7769,US,Anderson Valley,Unforgettable,92,66.0,California,Maggy Hawk 2009 Unforgettable Pinot Noir (Anderson Valley),Pinot Noir,Maggy Hawk,2009
7770,France,Vin de Pays d'Oc,Reserve,87,13.0,Languedoc-Roussillon,Domaines Astruc 2009 Reserve Merlot (Vin de Pays d'Oc),Merlot,Domaines Astruc,2009
